video_id,subject,scene,quality,relevance,verified,video_length,action_id,action_index,action,action_name,object_id,object_name,verb_id,verb_name,start_seconds,end_seconds,duration_seconds,clip_start_seconds,clip_end_seconds,clip_duration_seconds,objects,descriptions
8BG1T,Z68L,Recreation room / Man cave,7,7,Yes,45.46,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,7.6,43.7,36.1,5.6,45.46,39.86,cup;sofa;television;towel,The person walks to the sofa and sits down. They drink out of a glass and laugh at the television. The person wipes their face with a towel.
OINMN,X3DN,Closet / Walk-in closet / Spear closet,7,7,Yes,45.25,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,46.0,46.0,0.0,45.25,45.25,a person walks around;book;box;closet/cabinet;door;phone;shelf,{}
024PD,G6WD,Dining room,7,7,Yes,59.04,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,60.0,60.0,0.0,59.04,59.04,book;phone;table,A person flips through a magazine while talking on the phone and taking pictures.
EHTB6,UTMU,Bathroom,7,7,Yes,41.0,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,42.0,42.0,0.0,41.0,41.0,blanket;camera;floor;phone,"A girl is laying on a blanket on the floor, looking at and playing with her camera."
B5UXP,X3DN,Pantry,7,7,Yes,53.0,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,54.0,54.0,0.0,53.0,53.0,box;food,A person is eating food from a cereal box.
P0DXX,0RNU,Garage,7,7,Yes,52.0,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,8.2,31.4,23.2,6.2,33.4,27.2,book;box;clothes;floor;trash,a person puts some trash in a box and sets it next to a tv;A person picking up stuff and putting it in a card board box.The person picks up the box and sits by a television .The person turns and walks away .
FVPMC,3531,Pantry,7,7,Yes,35.25,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,36.0,36.0,0.0,35.25,35.25,broom;cabinet;dish;door;food;pantry / closet;sandwich;shelf,"A person holds a broom and opens the doors of the cabinet. The person then puts the broom in the cabinet on top of dishes, closes the cabinet doors, picks up a sandwich from a shelf, and eats the sandwich.;This person is standing in their kitchen, opens up closet / pantry, places broom in pantry, and then picks up a dish with food and starts eating."
CY2J2,G6WD,Living room,7,7,Yes,50.83,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,0.0,52.0,52.0,0.0,50.83,50.83,bag;chair;floor;vacuum,A person is sitting on the floor and taking apart a vacuum cleaner. The person is talking to another person as they do this.
BGX4T,HR43,Laundry room,7,7,Yes,23.42,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,0.0,24.0,24.0,0.0,23.42,23.42,door;vacuum,A person is holding a vacuum cleaner. A person then closes the door. A person then leaves the room
S1BYH,1TZV,Garage,7,7,Yes,28.04,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,0.0,29.0,29.0,0.0,28.04,28.04,box,A person runs back and fourth in their garage while holding a box.
4FXUI,D0RU,Home Office / Study (A room in a house used for work),7,7,Yes,44.25,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,41.2,41.2,0.0,43.2,43.2,chair;desk;door;laptop;table,"A person is sitting at a desk typing on a laptop.  The person scratches their head, types more, closes the computer and walks out of the room.;A person sitting at a lap top and desk .The person is working on the computer.The person gets up and halfway closes the top on the computer.The person proceeds to leave the room"
ZCH1J,DBGJ,Dining room,7,7,Yes,44.58,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,46.0,46.0,0.0,44.58,44.58,bag;food;laptop;refrigerator,A person is sitting down and opening a bag of chips. They have a laptop on their lap that they are looking at while they eat.
JUF24,3VLX,Kitchen,7,7,Yes,37.08,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,38.0,38.0,0.0,37.08,37.08,bag;food;spoon;stove,A person turns on the stove and cooks some food. The person takes food out of a bag and puts in the pot. The person stirs the pot.
6TNP4,EA2K,Kitchen,7,7,Yes,44.58,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,2.9,46.0,43.1,0.9,44.58,43.68,bottle;cup;floor;glass;refrigerator;shoe,A person is sitting on the floor while touching and cleaning some shoes. Another person is pouring a beverage from a refrigerator.
PURYC,ID9V,Kitchen,7,7,Yes,33.71,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,1.2,35.0,33.8,0.0,33.71,33.71,bag;cup/glass/bottle;door;food;groceries;refrigerator,The person opened the refrigerator and removed several groceries.;The person was getting things out of the refrigerator.  It looked like the person was making a meal. The person took out several things to eat.
1Y09V,ZAWX,Other,7,7,Yes,30.79,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,0.0,32.0,32.0,0.0,30.79,30.79,chair;coffee;cup;dish;food;glass,A person is standing and drinking coffee from a cup. They put the cup on a chair and leave.
HG8G1,T7C3,Dining room,7,7,Yes,36.83,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,38.0,38.0,0.0,36.83,36.83,floor;food;sandwich,A person lying on a floor .The person is eating a sandwich in a doorway between two rooms eating this sandwich and smiling .
ZP5TG,5LWB,Living room,7,7,Yes,42.46,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,43.0,43.0,0.0,42.46,42.46,chair;couch;dish;food;futon;table,"2 people are sitting in the living room talking, 1 of them is eating food.;The people are sitting and talking to each other. One person is eating."
L57L2,P6LJ,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,124.04,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,24.1,121.7,97.6,22.1,123.7,101.6,bag;box;clothes;floor;tape,A person is picking up a bag and putting it in a box then they close the box and seal the box with tape.
3HUXR,T7C3,Bedroom,7,7,Yes,41.62,c132,132,watching_television,Watching television,o034,television,v031,watch,0.0,43.0,43.0,0.0,41.62,41.62,bed;blanket;food;light;television;tv,"A person is lying on a bed wrapped in a blanket.  They are eating something and watching TV.  They get up and turn off the light.;This person is laying down, eating something, while watching tv, then turns off the light."
38TF8,6PZN,Kitchen,7,7,Yes,31.5,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,33.0,33.0,0.0,31.5,31.5,bowl;clothes;coffee;cup;floor;food,"One person sits on the floor eating, while another person drinks coffee and gets dressed.;The person on the floor was eating while sitting, while the person standing in the back was adjusting his clothes"
QU2WL,D0RU,Recreation room / Man cave,7,7,Yes,34.21,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,35.0,35.0,0.0,34.21,34.21,bottle;chair;cup;desk;drink;food;phone;table,"The person is on the phone, walking across the room.  He goes to the table, starts eating, sits down, also takes a drink, all while on the phone.;A person is walking around a room while talking on the phone. The person walks to a table, pours a drink and sits down."
ENJ7V,9PLL,Living room,7,7,Yes,39.79,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,41.0,41.0,0.0,39.79,39.79,door;phone/camera;shoe;video,A person watches a video on a tablet computer while standing near a door and then removes his shoes and puts them on the floor.
75HWR,4YWP,Dining room,7,7,Yes,37.0,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,38.0,38.0,0.0,37.0,37.0,food;hand;phone;sandwich;table,"A person is standing, looking at their phone. Another person walks past, holding a sandwich on a plate."
7JTEK,T7C3,Kitchen,7,7,Yes,35.29,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,36.0,36.0,0.0,35.29,35.29,cup;dish;food;glass;sandwich;stove,"A person is cooking while eating a sandwich they pick up a pill bottle and put it down on the counter.;A person is standing in their kitchen eating a sandwich and smiling while cooking some food on a stove, they then move a glass."
7WIKW,UTMU,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,44.46,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,19.1,40.1,21.0,17.1,42.1,25.0,box;coffee;cup;doorway;floor;glass;pillow;shelf;something,"A person walks over, pours a glass of water, picks up a pillow and snuggles with it. Then the person kneels down, opens a suitcase, rummages through it, gets up, and walks away."
1LKPL,BYF9,Kitchen,7,7,Yes,33.58,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,35.0,35.0,0.0,33.58,33.58,book;camera;dish;food;phone;picture;pot;stove;towel;trash can,Someone is in the kitchen cooking something while another person is standing and taking pictures of them.;A person in a kitchen throwing stuff away and putting things up.The other person is taking pictures of the person doing all the work.The one person places pots on the stove.
229ZR,D0RU,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,40.42,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,0.0,41.0,41.0,0.0,40.42,40.42,chair;door,"One person is standing in a doorway and another person is sitting in a chair outside the doorway. The person in the doorway swings the door back and forth and the person in the chair swings their leg. The person from the doorway walks out of the picture.;A person is standing in a doorway, opening and closing a door, while another person is sitting in a chair kicking their leg"
STAZI,BYF9,Kitchen,7,7,Yes,36.33,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,0.0,17.1,17.1,0.0,19.1,19.1,book;broom;door;floor;food,Someone walks in holding a book. He puts the book away as a girl follows him and begins to sweep up with a broom.
M0DAY,UTMU,Closet / Walk-in closet / Spear closet,7,7,Yes,24.83,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,0.0,26.0,26.0,0.0,24.83,24.83,closet;clothes;cup;glass;phone;shoes,"A person is standing in a closet, running in place while holding a glass. There is a rack of clothes and pile of shoes nearby.;A person standing in a closet with high heel shoes on dancing in place.The person is holding a phone while dancing."
NDH24,T7C3,Stairs,7,7,Yes,36.38,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,37.0,37.0,0.0,36.38,36.38,laptop;phone,"A person is sitting on the stairs, laughing while they look at their computer screen. THey are also holding a phone."
YVH4J,D0RU,Bedroom,7,7,Yes,46.67,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,36.3,36.3,0.0,38.3,38.3,bag;bed;laptop;paper/notebook;person;pillow;television,A person is laying on a bed on a pillow kicking their feet and smiling as they watch a video on a laptop across the room. They pick up a backpack and pick out some homework and look at it.;someone laying on a bed and watching something on a laptop.
BPZE3,T7C3,Kitchen,7,7,Yes,35.12,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,36.0,36.0,0.0,35.12,35.12,food;phone;stove,A person is cooking at the stove while looking at their phone.
GY9MZ,PKND,Other,7,7,Yes,35.17,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,0.0,36.0,36.0,0.0,35.17,35.17,coffee;cup;floor;shoe,"A person is pacing back and forth, laughing and smiling while drinking from from a mug. They take off their shoes and kick them aside.;The person is walking back and forth with a cup in the hand while drinking from it and smiling. The person is also removing its shoes without bending."
A1NKP,D0RU,Kitchen,7,7,Yes,30.75,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,0.0,32.0,32.0,0.0,30.75,30.75,blanket;coffee;dish;food;glass,"A man stands, wrapped in a blanket. He is standing over the sink and drinking from a coffee cup."
PCXYE,5LWB,Garage,7,7,Yes,34.54,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,0.0,26.4,26.4,0.0,28.4,28.4,chair;coffee;cup;glass;shelf;wall,A person drinks from a cup while sitting in a chair before fixing a shelf.;A person is sitting on a bike and drinking from a white cup. They get up and walk over to a shelf and put it down.
R28EY,9Y7F,Other,7,7,Yes,30.67,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.9,32.0,31.1,0.0,30.67,30.67,blanket;clothes;coat;food;mirror;pillow;sandwich,One young person throwing a coat over his shoulder and tossing around a pillow and another person eating a sandwich and looking in a mirror;Two people are standing in a room. One person is tossing a pillow in the air and wearing a blanket on their shoulder. The other person is eating some food and looking at himself in a mirror.
VSFCR,HR43,Living room,7,7,Yes,37.88,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,39.0,39.0,0.0,37.88,37.88,bed;cup;dog;sofa;unknown object,Person is sitting on bed with dog holding coffee cup and sipping out of it.  He looks to his right and examines the object sitting there after setting down his coffee cup.;A person is sitting on a bed with a cup drinking and laughing.
24B2K,3H6W,Basement (A room below the ground floor),7,7,Yes,53.92,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,8.5,49.5,41.0,6.5,51.5,45.0,blanket;box;cup;dish;floor;food;sandwich,"A person sits down behind a closed door and eats a sandwich, drinks water, looks at a box, and snuggles with a blanket before standing up."
1BUFQ,PO5L,Living room,7,7,Yes,40.25,c132,132,watching_television,Watching television,o034,television,v031,watch,0.0,41.0,41.0,0.0,40.25,40.25,floor;homework;paper;television;televison,A person walks back and forth and then looks up. Then they take a piece of homework and write on it. Then they get back up and leave the room.;A person is walking in front of a televison back and fort then looking up and sitting on the floor to work on homework.
U9UI8,9Y7F,Recreation room / Man cave,7,7,Yes,30.54,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,32.0,32.0,0.0,30.54,30.54,box;coffee;cup,One person is sitting on a bed looking through a box while the other person is standing and drinking from a mug
M8CDW,I1YH,Pantry,7,7,Yes,32.79,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,34.0,34.0,0.0,32.79,32.79,chair;phone,A person is sitting in a chair in the pantry and talking on the phone.
Y6MUU,0RNU,Laundry room,7,7,Yes,39.0,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,40.0,40.0,0.0,39.0,39.0,broom;cup/glass/bottle;door;medicine;phone;video,"A person is holding a broom and watching a video on a phone. They grab a bottle, open a door and leave."
X95MU,D0RU,Hallway,7,7,Yes,36.38,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,37.0,37.0,0.0,36.38,36.38,camera;chair;clothes;phone;picture;shoe,"A person is walking with a camera in their hands while putting on shoes, they then sit down on a chair and take a picture.;The person puts on their shoes then sits in a chair holding a camera. They take a picture."
L4DUU,ZAWX,Kitchen,7,7,Yes,31.58,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,33.0,33.0,0.0,31.58,31.58,camera;doorway;food;phone;sandwich;table,The person is holding a camera and eating a sandwich. The person is waving the camera around. The person puts the camera down. The person walks out of the room
XFHYX,XXN8,Pantry,7,7,Yes,29.88,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,0.7,16.9,16.2,0.0,18.9,18.9,cabinet;cup/glass/bottle;shelf;towel,"A person is cleaning a cabinet, and sneezing. The person gets a cup of water and drinks it."
FV684,1OHU,Bathroom,7,7,Yes,32.92,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,34.0,34.0,0.0,32.92,32.92,mirror;sink;table;vacuum;wipe,A person fixes their hat and admires themselves in a mirror. They wipe down the table with a wipe. They start vacuuming the floor;A person is looking at themselves in a mirror smiling then tidying the sink and vacuuming the floor.
ARCUY,4I61,Home Office / Study (A room in a house used for work),7,7,Yes,43.83,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,2.6,42.2,39.6,0.6,43.83,43.23,cabinet;chair;drawer;lamp;pillow;recliner;vest,"A person walks into the room and sits down in a recliner. The person adjusts a lamp. The person adjusts their jacket. The person grabs a pillow and fluffs it and sneezes while doing that. The person walks out of the room.;A person enters the living room, then closes a cabinet drawer and sits down in a recliner.  They adjust a floor lamp before zipping up their vest, then fluffs a pillow and sneezes several times before leaving the room."
406LH,P6LJ,Living room,7,7,Yes,34.17,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,3.0,19.0,16.0,1.0,21.0,20.0,curtain;dish;door;food;sandwich;shelf;window,"A person opens a door and stand in the doorway eating food from a dish, they then close the door and go to a window and look out.;A woman walks to a door and opens it, grabs a bowl and eats something, and then walks to the window and opens the curtain."
SPG5Q,T7C3,Laundry room,7,7,Yes,33.42,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,11.2,34.0,22.8,9.2,33.42,24.22,clothes;floor;shoe;towel,A person takes off shoes in the laundry room and then runs in place while holding a towel.
YDTH0,CCI9,Living room,7,7,Yes,34.5,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,36.0,36.0,0.0,34.5,34.5,cup;glass;laptop;sofa;table;water,A person sits down holding a laptop covered with a blanket. They pick up a glass of water and put it on the table.
7GIOE,9PLL,Home Office / Study (A room in a house used for work),7,7,Yes,33.79,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,35.0,35.0,0.0,33.79,33.79,laptop;picture,A person is using their laptop to look at pictures and to type on the keyboard.
8PSXZ,HR43,Kitchen,7,7,Yes,32.33,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,33.0,33.0,0.0,32.33,32.33,box;food;pot;stove,A person stands at a stove cooking something in a pot.  They pick up a box and move it next to a laptop.
ZWE6N,P6LJ,Dining room,7,7,Yes,37.71,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,2.2,37.7,35.5,0.2,37.71,37.51,bag;clothes;coffee;cup;glass;hand;table,A person takes a mug from the table and drinks from it. The person takes a bag and puts it back down.
K8AUX,4I2W,Pantry,7,7,Yes,29.54,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,0.0,31.0,31.0,0.0,29.54,29.54,bag;box;coffee;cup;dish;doorway;food;glass;groceries;items,The person is drinking from a cup and laughing.  They then take items out of a box and walk out the door.;A laughing person is drinking some coffee from a glass.  They pick up a bag  of groceries and some food and walk out the room through an open doorway.
B2X4D,C7O9,Kitchen,7,7,Yes,30.71,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,11.2,32.0,20.8,9.2,30.71,21.51,counter;cup;doorway;food;glass;stove;table,"A person is standing in the kitchen eating in silence.  Another person comes in the kitchen and goes to the stove.  They put something down next to the stove, stand there for a bit, and seem to adjust something on top of the stove.;Person is standing in a doorway and eating in kitchen. Another person walks in and places a cop on the counter."
7XLMZ,0KZ7,Stairs,7,7,Yes,28.75,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,30.0,30.0,0.0,28.75,28.75,clothes;floor;sandwich;towel,A person is playing with their clothes throwing them up in the air while sneezing uncontrollably.
M40WF,BYF9,Living room,7,7,Yes,36.04,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,37.0,37.0,0.0,36.04,36.04,bag;blanket;game;phone/camera;sofa,"Two people are sitting on a sofa while one uses a controller to play a video game. The other person gets up and moves to a table and picks a bag up from a seat, moving it next to the person playing games."
F0ZPW,UTMU,Closet / Walk-in closet / Spear closet,7,7,Yes,39.29,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,0.0,40.0,40.0,0.0,39.29,39.29,blanket;clothes;cup;dish;floor;food;glass;towel;vacuum,"A person is sitting on the floor eating while holding a blanket. A person then drinks water, and then begins to clean an item."
GYAR9,T7C3,Bedroom,7,7,Yes,37.96,c132,132,watching_television,Watching television,o034,television,v031,watch,0.0,39.0,39.0,0.0,37.96,37.96,bed;blanket;clothes;desk;floor;glass;television;water,person sitting on bed watching tv throws closes on floor takes a drink
5JSFE,C7O9,Kitchen,7,7,Yes,30.79,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,29.8,29.8,0.0,30.79,30.79,coffee;cup;door;homework;paper,A MAN IS DRINKING A CUP OF COFFEE BY THE DOOR AND ANOTHER BOY PASSES BY HIM TO OPEN A CLOSET DOOR TO GET A PEICE OF PAPER
FN71T,9PLL,Bathroom,7,7,Yes,31.83,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,33.0,33.0,0.0,31.83,31.83,clothes;door;phone;sink,"A person walks into a bathroom talking on a phone. The person then begins pick things up off the floor and placing them into the sink. The person then picks up some clothes off the floor and walks out of the bathroom.;Person walks into bathroom, while talking on the phone. Person puts some stuff in the sink and then grabs clothes and walks out of bathroom, while still talking on the phone."
RV11J,T7C3,Living room,7,7,Yes,40.29,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,39.1,39.1,0.0,40.29,40.29,bag;camera;phone,A person is pacing while holding a camera and looking through the view. They then put the camera into it's bag.
NSDFA,1OHU,Recreation room / Man cave,7,7,Yes,35.08,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,36.0,36.0,0.0,35.08,35.08,box;phone;picture,A person is carrying a box around a room while holding a phone.  They put the box down and take a picture.
