video_id,subject,scene,quality,relevance,verified,video_length,action_id,action_index,action,action_name,object_id,object_name,verb_id,verb_name,start_seconds,end_seconds,duration_seconds,clip_start_seconds,clip_end_seconds,clip_duration_seconds,objects,descriptions
DDUXF,D0RU,Kitchen,7,7,Yes,37.62,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,32.9,32.9,0.0,34.9,34.9,food;laptop;plate;table,"A person in a orange shirt is eating and nteracting with a laptop;a person looking down a laptop on a table while standing up and eating snacks, picks up the laptop and continues watching something on the laptop"
HB8QW,3H6W,Dining room,7,7,Yes,25.42,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,2.6,18.6,16.0,0.6,20.6,20.0,bag;broom;clothes;table,A person walks up while holding a broom in their hand and sits down in a chair and then gets up again and walks away while still holding the broom.
OYG5H,X5XO,Home Office / Study (A room in a house used for work),7,7,Yes,30.83,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,32.0,32.0,0.0,30.83,30.83,book;cabinet;clothes;door;floor,"A person picks up a magazine, puts it away, then throws things into another room."
IJN3M,D0RU,Hallway,7,7,Yes,41.42,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,3.0,42.0,39.0,1.0,41.42,40.42,camera;chair;phone;shoe,"A person walks through a room, sits on a bench, puts on shoes, and fiddles with a phone"
AST4H,JVLO,Living room,7,7,Yes,29.92,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,8.0,21.9,13.9,6.0,23.9,17.9,box;doorway;hair;mirror,"A person picks up a box, smiles and looks into a mirror.;A person picks up a box and walks through a doorway. The person then fixes their hair in a mirror"
0R5GS,3531,Recreation room / Man cave,7,7,Yes,31.33,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,10.9,32.0,21.1,8.9,31.33,22.43,bench;box;mirror;room,"A person walks into the room and grabs a box off of a bench. The person walks in circles while holding the box while looking in a mirror.;A person walks into a room, picks up a box, and begins walking in circles with the box in hand"
V58VE,D0RU,Bedroom,7,7,Yes,31.54,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,33.0,33.0,0.0,31.54,31.54,bed;clothes;laptop;pillow,A person is sitting on a bed with a pillow and laptop. The person is watching something on the laptop.
H603E,LTAC,Basement (A room below the ground floor),7,7,Yes,32.33,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,33.0,33.0,0.0,32.33,32.33,book;chair;floor;food;laptop;paper;sandwich;table,"A person is sitting in a chair looking at a paper, while working on a laptop.;The person is sitting and looking through some paper. The person then types something on a keyboard. They do this two times, put the paper on the ground, then eat something"
1SKLG,KQI6,Kitchen,7,7,Yes,30.42,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,31.0,31.0,0.0,30.42,30.42,blanket;broom;floor;food;something;stove;towel,a person holding a blanket is fixing something on the stove and another person comes in to sweep;A person is cooking something on the stove.  Another person starts sweeping the floor with a broom.
HY9LW,T7C3,Kitchen,7,7,Yes,33.75,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,0.0,34.6,34.6,0.0,33.75,33.75,cup;dish;glass;sink;something,A person is pouring water into a sink.;Person walk over to the sink pour out something in the sink then walk out of the room.
0NCWX,LTAC,Pantry,7,7,Yes,31.5,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,2.3,32.0,29.7,0.3,31.5,31.2,cabinet;cup;dish;door;glass,A person a cabinet and removes a glass. The person drinks from the glass.
8LWV7,ID9V,Bedroom,7,7,Yes,30.04,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,12.8,31.0,18.2,10.8,30.04,19.24,bed;blanket;coffee;cup;mug;table,A person lies down ona  bed. The person then gets up and drinks from a mug;A person awakens on a bed and grabs a coffee cup and drinks from it.
D4RH8,5LWB,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,29.08,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,30.0,30.0,0.0,29.08,29.08,book;chair;food;phone;sandwich,"Person A is sitting on a chair reading a book while Person B is holding a phone and eating a sandwich.;Two people are sitting on chairs in a hallway. One is looking at a book and the other is looking at their phone while eating a sandwich,"
EASCD,D0RU,Living room,7,7,Yes,41.46,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,35.0,35.0,0.0,37.0,37.0,chair;cup;dish;glass;sink;soda;sofa/couch;table,"A person is sitting on the bed brushing his hair with his hands. He pours a glass of soda and then takes a drink and sets the glass back down. He rearranges some dishes on the table and then grabs them, gets up, and takes them to the sink."
C0207,T7C3,Kitchen,7,7,Yes,36.42,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,0.0,37.0,37.0,0.0,36.42,36.42,floor;medicine;refrigerator,A person sits on their kitchen floor contemplating if they should take the medicine.
1DGSW,T7C3,Stairs,7,7,Yes,38.33,c132,132,watching_television,Watching television,o034,television,v031,watch,1.8,39.0,37.2,0.0,38.33,38.33,clothes;floor;television;tv,A person gets dressed while watching tV on the stairs.
U3OJV,0KZ7,Living room,7,7,Yes,27.67,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,29.0,29.0,0.0,27.67,27.67,chair;coffee;cup;phone;water,"A person is sitting in a chair, drinking from a glass and looking at a phone.;A person is sitting in a chair holding a cup and a phone. They drink water from the cup."
V5XKZ,D0RU,Stairs,7,7,Yes,31.58,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,32.7,32.7,0.0,31.58,31.58,bag;groceries;phone,"A person is standing on stairs, holding a bag of groceries while talking on a phone."
3FMAS,D0RU,Living room,7,7,Yes,37.12,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,38.0,38.0,0.0,37.12,37.12,doorway;hair;mirror;phone;picture,A person is looking in a mirror in a room while holding a phone. They then take a picture of them self.
B8BSY,XXN8,Home Office / Study (A room in a house used for work),7,7,Yes,31.79,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,32.9,32.9,0.0,31.79,31.79,camera;coffee;cup;table,"A person, sitting next to a cup of coffee is texting on a smartphone while sneezing at the same time."
5B8M5,ZAWX,Laundry room,7,7,Yes,30.71,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,32.0,32.0,0.0,30.71,30.71,chair;clothes;dish;food,A person is sitting in a chair and eating something. The person then gets up and checks the washing machine.
CVPQR,ZAWX,Recreation room / Man cave,7,7,Yes,30.58,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,16.5,32.0,15.5,14.5,30.58,16.08,chair;laptop;table,"A person picks up a laptop, opens it, types something into it, then sits down.;A person retrieved laptop from a table stands for a few seconds then has a seat in a chair and continues on laptop."
MV9N4,RPBD,Kitchen,7,7,Yes,28.96,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,30.0,30.0,0.0,28.96,28.96,food;glass;refrigerator;stove,A person is cooking on the stove and opens the refrigerator and pours a drink.
0YTSJ,D0RU,Home Office / Study (A room in a house used for work),7,7,Yes,37.08,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,0.0,38.0,38.0,0.0,37.08,37.08,chair;cup;desk;dish;food;glass;laptop;sandwich;table;water,"A person sits in a chair looking at a laptop computer. The person leans back and takes off their glasses. They reach for a glass to take a drink, then put it down to grab a sandwich. The person takes a bite from the sandwich."
WOD0G,ZAWX,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,30.79,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,0.0,13.9,13.9,0.0,15.9,15.9,book;clothes;doorway;table;towel,"A person is walking in the hallway holding a book and with a towel in thier shoulder, they then throw they towel on a table."
UKOAU,6RE8,Garage,7,7,Yes,30.38,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,9.9,23.9,14.0,7.9,25.9,18.0,dish;doorway;phone;sink,This person is standing in front of a window washing dishes.  That same person then leaves the room and goes into another room and is talking on the phone.
V8GK6,WQ8Z,Recreation room / Man cave,7,7,Yes,31.92,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,33.0,33.0,0.0,31.92,31.92,laptop;light;sofa,A person is sitting on a cough typing on his laptop. He then turns around and turns off a light.
5NG8W,PKND,Bathroom,7,7,Yes,31.67,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.1,32.4,32.3,0.0,31.67,31.67,laptop;phone;toilet,A person is sitting on the toilet playing with a laptop on their lap and holding a phone.;A guy is sitting on the toilet and playing with a phone and a laptop while smiling.
DUEEE,DYEW,Kitchen,7,7,Yes,30.38,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,31.0,31.0,0.0,30.38,30.38,dish;food;phone;stove,A person is cooking on a stove they grab their phone and check it and then continue cooking.
K8DDR,UTMU,Garage,7,7,Yes,32.54,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,0.0,34.0,34.0,0.0,32.54,32.54,cup;floor;glass;vacuum,"A person is using a vaccum, while drinking a glass of water."
VTYXW,T7C3,Kitchen,7,7,Yes,71.21,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,22.6,41.9,19.3,20.6,43.9,23.3,cup;door;food;glass;pitcher;pot;refrigerator;spoon;stove;water,A person is walking into a kitchen. The person opens the refrigerator and walks away. The person comes back and opens the refrigerator again and grabs a pitcher of water out of it and pours some into a glass. The person walks to the stove and stirs some food. The person walks away.;A person is opening the refrigerator door then pouring themselves a glass of water and cooking something on the stove.
0A8ZT,2Q9D,Bedroom,7,7,Yes,33.33,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,10.6,27.3,16.7,8.6,29.3,20.7,cabinet;cup/glass/bottle;medicine;phone;shelf,"A person takes a dose of cough syrup, inspects the label on the bottle, sets the bottle on a shelf in a cabinet, and then takes their phone from their pocket and starts using it;A person a bottle of medicine form a shelf in a cabinet. They drink the medicine then look at the bottle. The person then begins to play on their phone."
SZTNV,0KZ7,Hallway,7,7,Yes,28.71,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,30.0,30.0,0.0,28.71,28.71,door;floor;food;sandwich,A person is standing and throwing things at the door.  Another person is sitting on the floor by the door eating a sandwich.
0UFI4,WQ8Z,Living room,7,7,Yes,46.96,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,12.8,47.1,34.3,10.8,46.96,36.16,clothes;couch;shoe;sofa;window,A person walks towards the window and looks out of it and then walks towards a couch and sits down to tie their shoes.;Person walks to the window look out sit on the sofa put on shoes and get up.
9W63D,UTMU,Closet / Walk-in closet / Spear closet,7,7,Yes,33.75,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,0.0,35.0,35.0,0.0,33.75,33.75,camera;floor;paper/notebook;picture,"A person is sitting in a closet hugging a picture, while holding a camera."
WZRLQ,D0RU,Garage,7,7,Yes,34.88,c132,132,watching_television,Watching television,o034,television,v031,watch,0.0,36.0,36.0,0.0,34.88,34.88,chair;cup;dish;glass;shelf;television;water,"There is a person sitting in a chair flipping through T.V channels, then grabs a glass off the shelf"
FET0V,HR43,Bathroom,7,7,Yes,36.08,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,4.3,33.1,28.8,2.3,35.1,32.8,cup;glass;homework;laptop;paper,"A person is walking into the room, holding a laptop, a glass, and a piece of paper (homework). The person is looking at the laptop, talking, and laughing."
DBN7R,YMXV,Bedroom,7,7,Yes,30.71,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,32.0,32.0,0.0,30.71,30.71,bed;clothes;phone;wardrobe,"A person is sitting on the bed talking on their phone, they pick up some clothes and put them on a shelf then they lie down while still talking on the phone.;The person is talking on the phone while hanging clothes up."
G8O8P,P6LJ,Dining room,7,7,Yes,34.54,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,36.0,36.0,0.0,34.54,34.54,door;hand;phone,A person walks to the closet and opens the door.  The person goes into the closet and then closes the door.  The person walks to a table with a phone in the person's hand.
XNR76,HR43,Bedroom,7,7,Yes,33.67,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,32.5,32.5,0.0,33.67,33.67,bed;doorknob;phone,A person plays on their phone while sitting in bed.;A person is sitting on a bed texting on a phone. Then they get up off the bed and touch a doorknob.
5MYL4,6RE8,Bedroom,7,7,Yes,30.46,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,31.0,31.0,0.0,30.46,30.46,bag;bed;food;television,A person is sitting eating from a bag.;Person is sitting down on a bed eating out of a bag while watching television.
FPODN,WQ8Z,Recreation room / Man cave,7,7,Yes,34.58,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,10.8,26.2,15.4,8.8,28.2,19.4,doorway;glass;laptop;sofa;table,A person carried a laptop and places it on a table and sips from a glass.
QDRWK,KQI6,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,29.5,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,30.0,30.0,0.0,29.5,29.5,book;door;floor;magazine;mop;shelf,"Person walks in door with mop, walks through hallway to kitchen, mops floor, picks up magazine and puts on shelf.;Person opens the door and walks into the home and begins sweeping the floor before placing a book on a shelf."
J26CF,YMXV,Recreation room / Man cave,7,7,Yes,37.25,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,0.0,38.0,38.0,0.0,37.25,37.25,book;chair;laptop;table,Two people are sitting in a room together. One of them is using a laptop while the other is reading.
AHZWF,DXDI,Bathroom,7,7,Yes,28.0,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,0.0,13.7,13.7,0.0,15.7,15.7,coffee;cup;doorway,A person holding a cup of coffee is crouching in a doorway.  They stand up and pour the coffee into the bathtub.
WNW0S,PKND,Living room,7,7,Yes,31.62,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,0.0,11.7,11.7,0.0,13.7,13.7,broom;floor,"A person runs around the room holding a broom then lies down on floor, leaning against a cabinet, while staring at the camera."
WA7WD,D0RU,Home Office / Study (A room in a house used for work),7,7,Yes,31.46,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,32.0,32.0,0.0,31.46,31.46,backpack;bag;container;dish;floor;food;laptop;sandwich,"a person laying on the floor, watching something on their laptop, goes in their bag, pulls out a container, opens it, takes out a sandwich and begins to eat it."
C6B3T,KQI6,Living room,7,7,Yes,31.21,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,32.0,32.0,0.0,31.21,31.21,bottle;desk;floor;laptop;table;water,"A person is sitting in front of a laptop, takes a drink of water, and laughs at what is on the screen of the laptop.;A person sits at a desk working on a laptop, they take a drink of water then wash their face with some and begin laughing."
OOCOF,AH2J,Kitchen,7,7,Yes,29.71,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,31.0,31.0,0.0,29.71,29.71,food;hand;refrigerator;shelf;sink;water,"A person walks in to a room opens a refrigerator door and moves stuff around,the person proceeds to turn and wash their hands in the sink."
ENCXV,DL3G,Home Office / Study (A room in a house used for work),7,7,Yes,32.25,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,0.0,33.0,33.0,0.0,32.25,32.25,cup;desk;glass;medicine;water,A person gets a glass of water and then looks at some medication. The person takes the medication and then sets it on the desk and walks out of the room.
KZK6W,HR43,Kitchen,7,7,Yes,35.46,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,14.7,30.4,15.7,12.7,32.4,19.7,cup;food;glass;stove;water,"A person stands at a stove cooking some food.  They grab a bottle of oil, pour some into a pot and then put it back down. They take a glass of water from the counter and drink it."
KNN3G,0KZ7,Dining room,7,7,Yes,30.21,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,0.0,12.9,12.9,0.0,14.9,14.9,coffee;cup;dish;food;glass;sandwich;table,"A person stacks some dishes on the table, then pours some coffee into a glass.  They drink the coffee, then sit down, place the coffee on the table and take some food from a plate and begin eating."
YVFBN,4I2W,Stairs,7,7,Yes,29.42,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,30.0,30.0,0.0,29.42,29.42,chair;food;sandwich;stair,"The person sat on the top of stair holding food,then ate some of the food.;A person is sitting on a chair eating a sandwich, then starts laughing while eating the sandWICH"
AHL6X,C7O9,Living room,7,7,Yes,33.08,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,34.0,34.0,0.0,33.08,33.08,food;phone;sofa;television,Two people are sitting on the sofa watching television and laughing. One person starts playing on their phone.
YXP9P,UTMU,Stairs,7,7,Yes,33.67,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,0.0,35.0,35.0,0.0,33.67,33.67,box;floor;towel;wardrobe,A person squeezed and then picked out a kleenex out of a box and washed her wardrobe off with the kleenex
LOBSL,KASL,Recreation room / Man cave,7,7,Yes,36.25,c132,132,watching_television,Watching television,o034,television,v031,watch,2.7,37.0,34.3,0.7,36.25,35.55,chair;coffee;cup;desk;door;glass;laptop;television,"The person walked into the room and sat in the chair. The person then watched what was on the computer screens.;A person walks into a room, sits down in a chair and looks at a laptop. The person drinks coffee in a mug."
GNA1H,Q4IF,Home Office / Study (A room in a house used for work),7,7,Yes,29.88,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,0.0,24.4,24.4,0.0,26.4,26.4,book;chair;coffee;cup;homework;paper,A person paces while drinking coffee then sneezes. Another person is doing homework while seated at a table.
QHU9R,P6LJ,Living room,7,7,Yes,30.17,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,30.0,30.0,0.0,30.17,30.17,camera;clothes;phone;towel,The person is holding a towel while making a video call on their phone.
J1YJ6,6RE8,Garage,7,7,Yes,34.88,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,1.0,36.0,35.0,0.0,34.88,34.88,chair;phone;window,"A person is looking out a window while holding their phone, they then sit in a chair and begin smiling and playing a game on their phone;A person walks in and opens a window. Then they sit and look at their phone."
S1QOX,KQI6,Recreation room / Man cave,7,7,Yes,30.83,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,32.0,32.0,0.0,30.83,30.83,camera;phone;picture;sofa,"person talking to another person, takes picture with phone"
M8PXK,9Y7F,Dining room,7,7,Yes,30.08,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,31.0,31.0,0.0,30.08,30.08,broom;chair;floor;food;pillow;table,A person is sitting at a table eating food and another person comes to sweep the floor nearby
VSO80,YA10,Kitchen,7,7,Yes,31.5,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,17.7,32.0,14.3,15.7,31.5,15.8,chair;dish;food;fridge;plate;refrigerator,"A person opens a refrigerator door and gets some food out. The person begins eating and then sits down in a chair.;A person opens the fridge, takes out a plate, and starts eating, then sits down in a chair."
FW1L0,D0RU,Kitchen,7,7,Yes,30.75,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,24.8,24.8,0.0,26.8,26.8,food;pot;stove,A person is getting some food from a pot. The person moves the pot and puts it on another counter.
KAKC6,T7C3,Home Office / Study (A room in a house used for work),7,7,Yes,36.79,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,0.0,38.0,38.0,0.0,36.79,36.79,book;chair;cup;desk;table;water,person sits at their disk while drinking a glass of water. They seemed to be disturbed by something as this person continuously looks towards the door.;A person is sitting at a desk reading a book they look around and then pick up a glass and take a drink they look around again and then take another drink.
DKTVI,ZAWX,Kitchen,7,7,Yes,30.54,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,15.6,28.3,12.7,13.6,30.3,16.7,blanket;dish;doorway;food;towel,A person is playing with a towel.  Another person comes in the door and starts covering and uncovering dishes.;A person folds a towel while another person enters through a doorway and looks at food in various dishes.
10J88,BYF9,Dining room,7,7,Yes,20.17,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,0.0,11.0,11.0,0.0,13.0,13.0,phone;table,Person is skipping around a table on the living room. they also begin to use their phone.
7HV9Q,C7O9,Kitchen,7,7,Yes,29.83,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,31.0,31.0,0.0,29.83,29.83,camera;laptop;table,A person stands at a table and opens a laptop to work on it.  A person next to them is playing with a camera.
Q6XGG,C7O9,Dining room,7,7,Yes,30.96,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,32.0,32.0,0.0,30.96,30.96,chair;food;laptop;sandwich;something,"two persons were in the room, one person sitting before the laptop and working, other person is standing and doing something with hands"
